answers,question
"[' I like to ride my bike around the area, play video games, go out with my friends, have pizza, drink with my friend, eat Italian food,', "" I'm a stay at home mom."", ' Well, I did my undergraduate work in psychology and media studies (psychology and media studies).', "" I'm a stay at home dad kind of person so I work two jobs and live on campus."", '<|startoftext|>What kinds of things do you enjoy? Well, I am a grad student at the Savannah Sill Air Force Academy and I like to ski and I like swimming. I also like swimming and getting down my mountain bike. <|endof', "" When I'm not doing schoolwork or working, I like to play sports, listen to music, and go out to bars."", "" I like to hike and I like to ski. I haven't been much of a sprinter so I also haven't been much of a skier."", "" Well, I'm a runner mostly."", "" I've been traveling a lot lately, and playing video games."", '<|startoftext|>What kinds of things do you enjoy? Mostly cooking, drinking beer, spending time with family, harkening back to the heyday of beer? I kid, I like watching a movie, going to bars, or just hanging out with', ' I like to gamble, exercise, and go out to bars on the weekends, but I also enjoy swisher climes.', ' I like to ride my bicycle around the area, play video games, listen to music, eat lots of food,', ' I love to watch movies.', ' Well, I do a lot of yoga.', "" I like to gamble, exercise, and go out to bars on the weekends, despite the fact that I'mLoading...\n"", ' I like to gamble, exercise, and go out to bars in the morning.', "" Besides walking? I like to hike and I like to ski as well. I'm not a skier... I like to ski, too!"", ""<|startoftext|>What kinds of things do you enjoy? Mostly laundry, my favorite thing is when I'm doing research in the morning and my work is done at 5:00 pm., my hobbies include gardening, traveling, hiking, crafting, crafting, traveling"", ' Well, I mostly play video games so I have time for that.', "" I'm a stay at home dad type of person, I also like to hike and I like soccer too.""]",What kinds of things do you enjoy?
"[' I like to gamble, exercise, and go out to bars on the weekends, although that sounds like my life as a whole to me.', ' I love to hike and I also love yoga.', ' I like to ride my bicycle, go to festivals, and do other type of active things.', "" I'm a pharmacist."", ' I enjoy reading, hiking, and the beach.', "" I'm a runner so I like to run along the river or along the embankment."", ' Being out in nature with friends.', ' I love to hike with my family and go to bars with my friends.', ' Besides school? I like getting together with friends.', ""<|startoftext|>what kinds of things do you enjoy doing? I love to ride my bike, go to festivals, do bunch riding, lots of running/dance, it's summer stuff so I tend to stay up most of the day.<|endof"", ' I like to hike and I like to bike.', "" I'm a runner, so I do a lot of walking and running."", "" Being outside? I like to play sports at night so it's that kind of stuff."", ' I like to gamble, exercise, and go out to bars', '<|startoftext|>what kinds of things do you enjoy doing? I like to hike and I like to ski. I also ski.[|endoftext|>\n<|startoftext|>Have you ever played a sport? Yes, but I haven', "" I'm a stay at home dad type of person, I go to church, and I watch a million sports per day."", "" I'm a stay at home mom."", "" When I'm not doing schoolwork I like to hike and I like to ski."", "" I'm a student this summer so I have time for work and at work."", "" I used to be able to go anywhere and I used to go out in the cold. Now I'm not.""]",what kinds of things do you enjoy doing?
"[' I usually go to my room bluesy rock shows.', "" I usually go to festivals and stuff, but on occasion I will go to work (though sadly I don't have a job yet)."", ' I like to play basketball during the day and at night I ride a bicycle to work.', "" I like to play basketball or something but I don't usually do much other than watch movies."", ' I like to play basketball or tennis or just walking home from work.', "" I like to play basketball or whatever but I don't have a lot of time with family."", ' I like to play basketball or tennis or just walking home from work.', "" I go to multiple shows a month, but my major is study this week, so that's my main activity."", "" I like to play video games, cook, and party (though I haven't been regularly)."", ' I usually go to my room music college and my free time with my friends.', ' I like to play sports during the day, while at the same time eating pizza.', ' I like to play basketball or something, and if I have time I play tennis.', ' I like to play basketball during the day and hang out with friends during the night.', ' I like to play rock and roll (which I really enjoy), cook, and be fitness-focused.', ' I usually go to bars and eat out.', ' I usually go to a barony or two out of town, if I manage to hang around long enough.', ' I like to play video games and watch movies.', ' I like to play tennis and go rock climbing.', ' I like to play basketball or golf or just walk around.', ' I like to play video games, listen to music, bake, and watch movies.']",what kinds of things do you like to do on the weekends?
"[' I like to ride my bike, go to festivals, and do pretty much anything', ' I like to watch a lot of movies there, but I really enjoy traveling.', ' I like to ride my bike around the area, play video games, go to bars, and listen to music', ' I like to play basketball or just walk around.', ' I like to ride my bike around the area, play video games, go out in the city squares, go to bars, have parties, eat food,', '<|startoftext|>What kinds of things do you like to do in <location>? I like to ride my bike, go to the beach, do a few things in <country>that I really enjoy doing<|startoftext|>\n<|startoftext|>', ' I like to ride my bike, go to bars, go eat, drink beer, have parties, cook, and then have parties.', ' I like to ride my bike around the area, play video games, listen to music, have parties, cook, and maybe even watch some movies.', ' Mostly outdoorsy stuff, I like to hike and camp, that sort of stuff.', ' I like to ride my bike around the area, go to bars, and just hang out with friends.', ' I like to ride my bike around the area, play video games, go out with my friends, have parties, go out with friends.', ' I like to ride my bicycle, go to festivals, go to bars, do pretty much anything.', ' I like to ride my bicycle around the area, play video games, listen to music, have parties, cook, and go out to barbecues.', ' I like to watch a lot of movies, travel a lot, and go to many events.', ' I like to ride my bike, go to bars, go to live music events, eat lots of food,', ' I like to ride my bicycle, go to festivals, go on hikes, and do random other random things.', ' I like to ride my bike around the area, go to festivals, and do alot of these types of things.', ' I like to ride my bike around the area, play video games, go to bars, and do pretty much anything', '<|startoftext|>What kinds of things do you like to do in <location>? I like to ride my bike around the area, play video games, play Magic: The Gathering, go to bars, go to live music events, eat lots of food,<|endoftext', '<|startoftext|>What kinds of things do you like to do in <location>? I like to ride my bike around the area, play video games, play Magic: The Gathering, go to bars, go to live music events, workout, cook, and so on.<|end']",What kinds of things do you like to do in <location>?
"[' I love to watch movies and listen to music.', "" I love to hike and I don't usually travel, but I love to hike with my friend."", ' I love to watch movies.', ' I like to gamble, exercise, and go out to bars most days. I also like to travel as well.', ' I love to hike with my family, go hiking with my dog, cook, and do other kind of things.', ' I love to watch movies and play video games.', ' I love to watch movies and travel, I also love playing basketball.', ' I love to watch movies and video games.', ' I love to watch movies.', ' I love to watch movies and play video games.', ' I love to dance, cook, and also watch a variety of shows.', ' I love to hike with my family, go hiking with my cousin, go on hikes with my dad, and so on.', ' I love to watch movies and I cook.', ' I like to gamble, exercise, and travel.', ' I love to watch movies and take walks along the river.', ' I love to hike with my family, go hiking with my dog, cook, and otherwise be involved in the local area.', ' I like to gamble, exercise, and travel as well.', ' I love to watch movies and go out with my friends.', ' I like to gamble, exercise, and travel.', ' I like to gamble, exercise, and travel as well.']",What kind of things do you enjoy doing in your free time?
"[' I like to play sports or just walking fitness.', ' I like to play sports.', ' I like to ski, I like swimming, and I like playing video games too.', '<|startoftext|>What kind of hobbies do you have? I like to ski, I like swimming and getting out in the open is super fun!|endoftext|\n<|startoftext|>Are you already getting hot weather down there?', ' I like to ski and I used to be pretty deep into my Christian basement I lived in a campervan.', ' I like to play sports.', ' I like to ski, I ski, and I ski-fishing. I also ride a bike.', ' I like to ski and I played basketball when I was little, so I like playing catch when I can.', ' I like to play sports.', ' I like to ski and I play all sports, but not tennis.', ' I like to play sports.', ' I like to play sports.', ' I like video games too, but not as much as I use to.', ' I like to ride my bike around the area, play video games, listen to music, and go to bars FOREVER.', ' I like to ski and I play all types of sports, but I play tennis and I like it.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', "" I like to ski and I grew up on Mturk, I love swimming so these types of things aren't as common."", ' I like to play sports.']",What kind of hobbies do you have?
"[' I like to play sports.', "" I like to ski and I played basketball when I was little... but I don't have a lot of physical activity at home."", ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports or just walk around.', ' I like to play sports.', ' I like to play sports.', ' I like to play basketball or tennis.', ' I like to play sports.', ' I like to play sports.', '<|startoftext|>What kind of hobbies do you like to do? I like to ride my bike around the area, play video games, play Magic: The Gathering, go to bars, go to live music events, cook, help out with the new foundation we have', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.']",What kind of hobbies do you like to do?
"["" I like biking, playing basketball, and reading. I'm a student too."", ' I like video games too, but not as much as I use to.', ' I like to play sports.', ' I like to ski and I recently got married.', ' I like to play sports.', ' I like video games too, but not as much as I use to.', ' I like to play basketball or IBS or whatever I want.', ' I like video games too, but not as much as I use to.', ' I like to play sports or just walk around Boston.', '<|startoftext|>What kind of hobbies do you enjoy? I like to ride my bike around the area, eat ramen, play video games, listen to music, eat lots of food, and complain less I being weird haha!<|endoftext', ' I like video games too, but not as much as I use to.', ' I like video games too, but not as much as I use to.', ' I like to play sports or just walking around Boston.', ' I like to play sports or just walk around Boston.', ' I like to play sports.', ' I like video games too, but not as much as I use to.', ' I like to play sports.', ' I like to ski or bike or just about any day.', ' I like to play sports.', ' I like to play sports or just to death.']",What kind of hobbies do you enjoy?
"[' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like running, spending time with friends, and the like.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.', ' I like to play sports.']",What kind of hobbies / activities are you involved in?
"[' I like to hike and I also like to bike!>\n', ' I like to hike and I also like to ski.', ' I like to hike and I also like to play tennis.', ""<|startoftext|>what kind of outdoors stuff do you do? I like to hike and I also like to bike... I don't usually ride outside in the outdoors, but on the weekends I like to play basketball when I have time.<|endoftext|"", ' I like to hike and I also like to bike. ', ' I like to hike in ponds or something, I like to play in the shade in the backyard.', ' I like to hike and I like to bike.', "" I like to hike and I also like to bike... I'm not a big sleeper myself, but I enjoy getting outside and play golf."", ' I like to hike and I like to bike... so my active/hiking hobbies are all about danger and survival.', ""<|startoftext|>what kind of outdoors stuff do you do?  I like to hike and I also like to bike... I also don't like to play video games or anything... but I'll let you know how I doixenote.<|endof"", "" I like to hike and I also like to bike...though I don't usually ride a bike...so there's lots of space in my home for biking and hiking."", ' I like to hike and I also like to ski.', '  I like to hike and camp, in gardens or with the tree. ', ' I like to hike and I like to bike my horses and geese. ', ' I like to hike and I also like to bike.', ' I like to hike and I also like to bike. ', ""  I like to hike and I also like to ski, but I don't ski as often as I'd like."", ""<|startoftext|>what kind of outdoors stuff do you do? I like to hike and I also like to ski, but I don't have a lot of time anymore as I have had to ski, so what do you do? I like to ride my bicycle"", ' I like to hike and camp, in and about 40 acres.', "" I like to hike and I also like to ski, but I don't have a lot of time anymore.""]",what kind of outdoors stuff do you do?
"[' I like to play ""Pulp game"" with friends.', ' I like to game in and out of the store during the day, listening in on customer service meetings, and passing along information about new products to the public.', '  Sometimes I like to watch another medium that appreciates diversity, like Warcraft, Heroes of the Dia:O, and Magic: The Gathering.', '  I like playing around with consumables like swords and armor.', ' I like to play the ""stuf"" too, although I don\'t do much with my time""', '  I like to game in and out of the city, I also like to play an instrumental dance (fiddle) at home.', ' I like to game here and there throughout the day, but then traveling alone, I really enjoy catching the sunset.', ' I like to play the violin and sing.', ' I like to game in and out of the store during the day, but at night I play a small part in helping to write the store invocation card.', ' I like playing solitaire.', '  Sometimes I like to gamble or gamble and play video games.', ' I like to play the violin and sing.', ""<|startoftext|>what kind of fun stuf do you do outside of work?  Sometimes I like to hike and sometimes I like to ski, but mostly I play console vp fun without actually playing a game (which I probably would not be if I didn't work).<"", ' I like to play the violin during work hours and play for both companies and also at universities.', ' I like to game in and out of the city during the day, but during the week I am usually at home playing Magic: The Gathering and traveling by bicycle.', '  I like to play an instrument deck around the house.', ' I like to play the violin during lectures and also during sessions.', '   My main job is to watch ufc games on netflix and play on AT&T or whatever.', ' I like to play the violin and sing.', ' I like to play the stuf as a side job, and help out with diagnostic testing.']",what kind of fun stuf do you do outside of work?
"[' I like to gamble, exercise, and go out to bars every now and then.', ' I basically spend time with my family, go to festivals and such, concerts.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and go out to bars sometimes.', ' I like to gamble, exercise, and travel.', ' I like to gamble, exercise, and travel.', ' I like to gamble, exercise, and go out to bars occasionally.', ' I like to gamble, exercise, and travel,', ' I like to gamble, exercise, and travel as well.', ' I basically spend time with my family, go to festivals and such, concerts.', ' I like to gamble, exercise, and go out to bars occasionally.']",What sort of things do you do in your free time?
"["" I've been involved in several sports over the past several years, including football and tennis."", ' I enjoy cooking, playing basketball, and hanging out with friends.', ' I have to admit, I have a lot of family that comes every other week.', ' I have a petite 6 foot tall cat named Shepard.', ' My favorite things are watching movies, walking, fishing, playing video games.', ' My hobbies include biking and reading.', ' I enjoy cooking, Concerts with friends, Cooking, Watching Netflix.', ' My hobbies include biking and reading.', '<|startoftext|>what things do you enjoy doing? I like to ride my bicycle around the area, play video games, play Magic: The Gathering, go to bars, go to live music events, eat lots of food,<|endoftext', ' My favorite activities are watching Netflix and walking around Boston.', ' I have a lot of family,friends,andIbuprops', ' I have plenty of hobbies, but my main activities are playing video games and walking (I also enjoy cooking, reading, and gardening).', ' I have to admit that I do a lot of my reading online and in my sleep lately.', "" I'm a thrill-seeker so I like to spot contingencies."", '<|startoftext|>what things do you enjoy doing? I like to gamble, exercise, and go out to bars most days. I also like to hike, bike, and...whip??, Hiking? Yep, I hike, biking, and', ' I have to admit that I do a lot of walking and biking.', ' I have a lot of family, I like to bowl, do alot of out door activities, and I like to bike around the area as well.', ' I do a lot of walking and running.', ' I am a avid runner, although I have stopped for miles this past week to swim in the marathon.', ' I enjoy cooking, gaming, drinking beer, having sex, and being kind of alone.']",what things do you enjoy doing?
"[' I like to cook, if you can call that a hobby and I like all types of craftwork', ' I like to cook, if you can call that a hobby and I like all types of craftwork', "" I like to ski, I like playing video games, reading, and traveling. I'm a big Cleveland Cavaliers fan too."", ' My hobbies include biking and reading.', ' I like to hike and I like to ride my bicycle around the city.', "" I like to bake, do a few different things, and I like to dance (even if I'm not able to do it due to a medical issue)."", ' My hobbies include biking and reading.', "" My hobbies include biking, reading, playing video games, eating disorders, gay men, and I get pretty weird when I'm shown boys'."", ' I like to cook, if you can call that a hobby and I like all types of craftwork', ' Well I like to cook, if you can call that a hobby and I like to read alot.', ' I like to ski and I like swimming!', ' I like to cook, if you can call that a hobby and I like to read and video game related media', ' My hobbies are golf, grand kids, the beach, cards and goofing off.', '<|startoftext|>What are your hobbies? I like to bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake!, I bake', ' I like to cook, if you can call that a hobby and I like to play sports,', ' My hobbies are golf, grand kids, the beach, cards and goofing off.', ' I like to cook, if you can call that a hobby and I like all types of craftwork', ' I like to hike and I like to ride my bike around the area. I also like to hike kayak too.', ' I like to hike and I love to read.', ' My hobbies include biking and reading.']",What are your hobbies?
